"Status","ModelName","FileName","FullPath","SizeMB","Message"
"Uploaded","2017chiron","2017chiron.png","D:\GTA MOD DL's\Vehicles\GTA Popgroups Tool\Car Pics\images\2017chiron.png","1.5","Vehicle image uploaded."
"Uploaded","2018zl1","2018zl1.png","D:\GTA MOD DL's\Vehicles\GTA Popgroups Tool\Car Pics\images\2018zl1.png","1.32","Vehicle image uploaded."
"Uploaded","2019chiron","2019chiron.png","D:\GTA MOD DL's\Vehicles\GTA Popgroups Tool\Car Pics\images\2019chiron.png","1.2","Vehicle image uploaded."
"Unmatched","2020cla45s","2020cla45s.png","D:\GTA MOD DL's\Vehicles\GTA Popgroups Tool\Car Pics\images\2020cla45s.png","1.12","No matching D1 vehicle model."
"Uploaded","212expo51","212expo51.png","D:\GTA MOD DL's\Vehicles\GTA Popgroups Tool\Car Pics\images\212expo51.png","0.87","Vehicle image uploaded."
